,TTDDRUGID,LNM,Indication,ICD9,ICD10
45,DAP000041,carmustine,Brain cancer,"191, 225.0","C71, D33"
46,DAP000042,nefazodone,Depression,311,F32
47,DAP000043,furosemide,Edema associated with congestive heart failure,"428.0, 782.3","I50, R60.9"
48,DAP000044,dutasteride,Benign prostatic hyperplasia,600,N40
49,DAP000044,dutasteride,Prostate cancer,"140-229, 185","C00-C96, C61"
50,DAP000045,finasteride,Benign prostatic hyperplasia,600,N40
51,DAP000046,amsacrine,Acute lymphoblastic leukemia,"189, 204.0","C64, C91.0"
52,DAP000047,bethanidine,Heart arrhythmia,.,I47-I49
53,DAP000047,bethanidine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
54,DAP000048,pentoxifylline,Intermittent claudication,440.21,I73.9
55,DAP000049,pemetrexed,Malignant pleural mesothelioma,163,C45
56,DAP000049,pemetrexed,Pleural mesothelioma,163,C45
57,DAP000050,idarubicin,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
58,DAP000051,sertraline,Depression,311,F32
59,DAP000052,bupropion,Depression,311,F32
60,DAP000053,orlistat,Obesity,278,E66
61,DAP000054,venlafaxine,Depression,311,F32
62,DAP000055,ethambutol,Tuberculosis,010-018,A15-A19
63,DAP000056,foscarnet,Herpes viruses,"053, 054","B00, B02"
64,DAP000057,mitoxantrone,Cancers,140-239,C00-C96
65,DAP000058,terlipressin,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
66,DAP000059,guanadrel sulfate,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
67,DAP000060,adefovir dipivoxil,Hepatitis B virus infection,070.2-070.3,"B16, B18.0, B18.1"
68,DAP000061,phenobarbital,Seizures,"345.9, 780.3","G40, P90, R56"
69,DAP000062,oxaliplatin,Colorectal cancer,"153, 154",C18-C21
70,DAP000063,frovatriptan,Migraine headaches,346,G43
71,DAP000064,lofexidine,Heroin and opiate withdrawal,304,F10-F19
72,DAP000065,carteolol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
73,DAP000066,epinephrine,Allergy,995.3,T78.4
74,DAP000066,epinephrine,Sepsis,"995.0, 995.91","A40, A41, T78.2"
75,DAP000068,ropinirole,Parkinson's disease,332,"F02.3, G20"
76,DAP000069,pergolide,Parkinson's disease,332,"F02.3, G20"
77,DAP000070,ramelteon,Circadian rhythm sleep disorder,"327.3, 780.55",G47.2
78,DAP000070,ramelteon,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
79,DAP000071,morphine,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
80,DAP000073,buprenorphine,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
81,DAP000075,cevimeline,Sjogren's syndrome,710.2,M35.0
82,DAP000076,aripiprazole,Schizophrenia,"295, 710.0","F20, M32"
83,DAP000077,zolmitriptan,Migraine,346,G43
84,DAP000078,dihydroergotamine,Migraine headaches,346,G43
85,DAP000079,ziprasidone,Schizophrenia,"295, 710.0","F20, M32"
86,DAP000080,isoproterenol,Bradycardia; Heart block,"116.0, 426.9","B40, I44-I45"
87,DAP000081,tranylcypromine,Depression,311,F32
88,DAP000082,liothyronine,Hypothyroidism,244,E03
89,DAP000083,levothyroxine,Hypothyroidism,244,E03
90,DAP000084,chlordiazepoxide,Anxiety disorder,"300, 311","F32, F40-F42"
91,DAP000085,eplerenone,Heart failure,"410, 428","I21, I22, I50"
92,DAP000086,tamsulosin,Benign prostatic hyperplasia,600,N40
93,DAP000087,yohimbine,Male impotence,"302.72, 607.84","F52.2, N48.4"
94,DAP000088,timolol,High blood pressure,401,"I10, I11, I12, I13, I15"
95,DAP000089,propranolol,Migraine,346,G43
96,DAP000091,zafirlukast,Asthma,493,J45
97,DAP000092,bicalutamide,Advanced prostatic cancer,185,C61
98,DAP000093,felbamate,Epilepsy,"290-319, 345","F01-F99, G40"
99,DAP000094,abarelix,Advanced prostate cancer,"140-229, 185","C00-C96, C61"
100,DAP000095,anakinra,Rheumatold arthritis,714,M05-M06
101,DAP000096,cetrorelix,Controlled ovarian stimulation,183,C56
102,DAP000097,naloxone,Narcotic depression,"304.9, 311","F19.20, F32"
103,DAP000098,conivaptan,Euvolemic hyponatremia,276.1,E87.1
104,DAP000099,caffeine,Fatigue; Orthostatic hypotension,"458.0, 780.7","I95.1, R53"
105,DAP000100,perphenazine,Schizophrenia; Bipolar disorder,"295, 296","F20, F31"
106,DAP000101,loratadine,Allergy,995.3,T78.4
107,DAP000102,terfenadine,Allergy,995.3,T78.4
108,DAP000103,cyproheptadine,Allergy,995.3,T78.4
109,DAP000104,trazodone,Depression,311,F32
110,DAP000105,atracurium,General anesthesia,338,R52
111,DAP000107,infliximab,Asthma,493,J45
112,DAP000107,infliximab,Psoriasis; Crohn's disease; Ankylosing spondylitis; Psoriatic arthritis; Rheumatoid arthritis; Ulcerative colitis,"555, 556, 556.9, 696, 696.0, 710-719, 714, 720.0","K50, K50-K52, K51, L40, L40.5, M00-M25, M05-M06, M07, M08.1, M45"
113,DAP000108,tamoxifen,Breast cancer,"174, 175, 217","C50, D24"
114,DAP000109,telithromycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
115,DAP000110,tobramycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
116,DAP000111,erythromycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
117,DAP000113,filgrastim,Neutropenia,288,D70
118,DAP000114,vincristine,Acute lymphoblastic leukemia,"189, 204.0","C64, C91.0"
119,DAP000115,adapalene,Acne vulgaris,706.1,L70.0
120,DAP000116,gentamicin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
121,DAP000117,aztreonam,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
122,DAP000118,citalopram,Depression,311,F32
123,DAP000119,acetyldigitoxin,Congestive heart failure,"428, 428.0",I50
124,DAP000120,digitoxin,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
125,DAP000120,digitoxin,Congestive cardiac insufficiency; Arrhythmias; Heart failure,"427, 428","I47-I49, I50"
126,DAP000121,lidocaine,Anesthesia,338,R52
127,DAP000122,nadolol,High blood pressure; Angina,"401, 413","I10, I11, I12, I13, I15, I20"
128,DAP000123,pancuronium,Anesthesia,338,R52
129,DAP000124,guanethidine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
130,DAP000125,debrisoquin,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
131,DAP000128,sodium bicarbonate,Acidosis,.,E87.2
132,DAP000128,sodium bicarbonate,Metabolic acidosis,276.2,E87.2
133,DAP000130,phenytoin,Seizures,"345.9, 780.3","G40, P90, R56"
134,DAP000131,chloroprocaine,Anesthesia,338,R52
135,DAP000132,glimepiride,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
136,DAP000133,repaglinide,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
137,DAP000134,isradipine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
138,DAP000135,carvedilol,Congestive heart failure,"428, 428.0",I50
139,DAP000136,tolbutamide,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
140,DAP000137,topiramate,Alcohol use disorders,303,F10.2
141,DAP000137,topiramate,Epilepsy,"290-319, 345","F01-F99, G40"
142,DAP000138,clotrimazole,Fungal infection,110-118,B35-B49
143,DAP000139,amlodipine,Hypertension; Angina,"401, 413","I10, I11, I12, I13, I15, I20"
144,DAP000140,tramadol,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
145,DAP000141,ergotamine,Headache,"339, 784.0","G43-G44, R51"
146,DAP000142,flunarizine,Migraine,346,G43
147,DAP000143,minoxidil,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
148,DAP000144,streptomycin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
149,DAP000145,ceftriaxone,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
150,DAP000146,cefotaxime,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
151,DAP000147,mercaptopurine,Acute lymphocytic leukemia,204,C91.0
152,DAP000148,trilostane,Cushing's disease,255,E24.0
153,DAP000150,milrinone,Congestive heart failure,"428, 428.0",I50
154,DAP000151,drotrecogin alfa,Cerebrovascular ischaemia,434.91,I61-I63
155,DAP000151,drotrecogin alfa,Severe sepsis,995.91,A40-A41
156,DAP000152,diflunisal,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
157,DAP000153,sulfasalazine,Inflammatory bowel dieasea; Rheumatoid arthritis,"555, 556, 714","K50, K51, M05-M06"
158,DAP000154,miconazole,Fungal infection,110-118,B35-B49
159,DAP000155,cefalotin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
160,DAP000156,atovaquone,Fungal infection,110-118,B35-B49
161,DAP000157,enfuvirtide,HIV infections,"001-139, 042","A00-B99, B20"
162,DAP000158,moxifloxacin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
163,DAP000159,gatifloxacin,Respiratory tract infections,460-519,J00-J99
164,DAP000160,levofloxacin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
165,DAP000161,sparfloxacin,Bacterial infection,"001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104","A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79"
166,DAP000162,tacrolimus,Ocular allergy,360-379,H00-H59
167,DAP000162,tacrolimus,Organ transplant rejection,"279.5, 996","D89.8, T86"
168,DAP000163,ethchlorvynol,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
169,DAP000164,tiagabine,Anxiety disorder; Insomnia,"300, 307.4, 327.0","F40-F42, F51.0, G47.0"
170,DAP000164,tiagabine,Panic disorder; Epilepsy,"300.01, 300.21, 345","F41.0, G40"
171,DAP000165,chloroquine,Malaria,84,B50-B54
172,DAP000167,lamivudine,HIV infections; Chronic hepatitis B,"042, 070.2-070.3","B16, B18.0, B18.1, B20"
173,DAP000168,indinavir,HIV infections,"001-139, 042","A00-B99, B20"
174,DAP000169,ritonavir,HIV infections,"001-139, 042","A00-B99, B20"
175,DAP000170,amprenavir,HIV infections,"001-139, 042","A00-B99, B20"
176,DAP000171,saquinavir,HIV infections,"001-139, 042","A00-B99, B20"
177,DAP000172,stavudine,HIV infections,"001-139, 042","A00-B99, B20"
178,DAP000173,ribavirin,Hepatitis C virus infection,"070.4, 070.5, 070.70, 573.3","B17.1, B18.2, K75.9"
179,DAP000174,acarbose,Cardiovascular disease,"325, 390-459, 401, 428, 430-459","G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95"
180,DAP000174,acarbose,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
181,DAP000175,nicotine,Nicotine dependence,305.1,F17
182,DAP000176,sibutramine,Obesity,278,E66
183,DAP000177,doxepin,Depression,311,F32
184,DAP000179,imatinib,Chronic myelogenous leukemia,"205.1, 208.9","C91-C95, C92.1"
185,DAP000179,imatinib,Glioma; Lung cancer; Prostate cancer; Solid tumours,"140-199, 191, 210-229","C00-C75, C71, C7A, C7B, D10-D36, D3A"
186,DAP000179,imatinib,Intestinal cancer; Myeloid leukemia,"152, 153, 205","C17, C18, C92"
187,DAP000180,omeprazole,Gastroesophageal reflux disease,"140-229, 530","C00-C96, K21"
188,DAP000181,piroxicam,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
189,DAP000182,alendronate,Osteoporosis; Paget's disease,"731.0, 733.0","M80-M81, M88"
190,DAP000183,delavirdine,HIV infections,"001-139, 042","A00-B99, B20"
191,DAP000184,nevirapine,HIV infections,"001-139, 042","A00-B99, B20"
192,DAP000186,fluoxetine,Depression,311,F32
193,DAP000187,amiloride,Congestive heart failure; Hypertension,428,I50
194,DAP000188,bendroflumethiazide,High blood pressure,401,"I10, I11, I12, I13, I15"
195,DAP000191,cilostazol,Intermittent claudication,440.21,I73.9
196,DAP000192,doxorubicin,Cancers,140-239,C00-C96
197,DAP000193,epirubicin,Cancers,140-239,C00-C96
198,DAP000194,thioguanine,Acute myeloid leukemia,"205.0, 238.7","C92.0, D46"
199,DAP000195,pseudoephedrine,Nasal congestion,478.19,J34.89
200,DAP000197,rifampin,Tuberculosis,010-018,A15-A19
201,DAP000198,l-proline,Dietary supplement,260-269,E40-E46
202,DAP000199,tranexamic acid,Excessive bleeding,459,R58
203,DAP000200,aminocaproic acid,Excessive postoperative bleeding,459,R58
204,DAP000201,magnesium sulfate,Acute pain,"338,780","R52, G89"
205,DAP000202,epoetin alfa,Anemia,280-285,D50-D64
206,DAP000203,alteplase,Pulmonary embolism,415.1,I26
207,DAP000204,tenecteplase,Myocardial infarction,"410, 434.91","I21, I22, I61-I63"
208,DAP000205,metformin,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
209,DAP000206,phenformin,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
210,DAP000207,marinol,Anorexia,307.1,F50.0-F50.1
211,DAP000208,lubiprostone,Chronic idiopathic constipation,564,K59.0
212,DAP000208,lubiprostone,Constipation,564,K59.0
213,DAP000210,gemfibrozil,Hyperlipidemia,272.0-272.4,E78
214,DAP000211,paricalcitol,Hyperparathyroidism,"252.02, 588.81",E21.1
215,DAP000212,dopamine,Hypotension,"458, 796.3",I95
216,DAP000212,dopamine,Parkinson's disease,332,"F02.3, G20"
217,DAP000213,codeine,Cough,786.2,R05
218,DAP000213,codeine,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
219,DAP000214,butorphanol,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
220,DAP000215,cisplatin,Cancers,140-239,C00-C96
221,DAP000216,primaquine,Malaria,84,B50-B54
222,DAP000217,felypressin,Localisation,.,.
223,DAP000218,almotriptan,Acute migraine,346,G43
224,DAP000219,sumatriptan,Migraine headaches,346,G43
225,DAP000220,rizatriptan,Acute migraine,346,G43
226,DAP000221,ondansetron,Alcohol use disorders,303,F10.2
227,DAP000221,ondansetron,Chemotherapy-induced nausea and vomiting,"787, 787.0",R11
228,DAP000222,cisapride,Gastroesophageal reflux disease,"140-229, 530","C00-C96, K21"
229,DAP000223,adenosine,Paroxysmal supraventricular tachycardia,"427, 427.0, 427.1, 427.89, 785.0","I47-I49, I47.1, I47.2, R00.0"
230,DAP000224,phenylephrine,Ophthalmic disorders,360-379,H00-H59
231,DAP000225,metaraminol,Hypotension,"458, 796.3",I95
232,DAP000226,methyldopa,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
233,DAP000227,ergonovine,Postpartum haemorrhage,666,O72
234,DAP000228,ephedrine,Asthma; Bronchitis,"466, 490, 491, 493","J20-J21, J42, J45"
235,DAP000229,midodrine,Orthostatic hypotension,458,I95.1
236,DAP000230,meperidine,Anesthesia,338,R52
237,DAP000231,clonidine,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
238,DAP000232,guanabenz,High blood pressure,401,"I10, I11, I12, I13, I15"
239,DAP000233,dexmedetomidine,Sedation,338,R52
240,DAP000234,tizanidine,Spasms; Pain,"338,780","R52, G89"
241,DAP000235,oxymetazoline,Nasal congestion,478.19,J34.89
242,DAP000235,oxymetazoline,Ocular disease,.,H00-H59
243,DAP000236,apraclonidine,Additional intra ocular pressure reduction,.,H40-H42
244,DAP000237,lorazepam,Anxiety disorder,"300, 311","F32, F40-F42"
245,DAP000238,temazepam,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
246,DAP000239,alprazolam,Anxiety disorder,"300, 311","F32, F40-F42"
247,DAP000240,clorazepate,Anxiety disorder; Insomnia,"300, 307.4, 327.0","F40-F42, F51.0, G47.0"
248,DAP000241,midazolam,Sedation,338,R52
249,DAP000242,flurazepam,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
250,DAP000243,oxazepam,Anxiety disorder,"300, 311","F32, F40-F42"
251,DAP000244,triazolam,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
252,DAP000245,dobutamine,Heart failure; Cardiogenic shock,"428.0, 785.51","I50, R57.0"
253,DAP000246,terbutaline,Asthma,493,J45
254,DAP000247,formoterol,Asthma,493,J45
255,DAP000248,salbutamol,Acute asthma,493,J45
256,DAP000249,pirbuterol,Asthma,493,J45
257,DAP000250,bambuterol,Asthma,493,J45
258,DAP000251,cabergoline,Hyperprolactinaemia,253.1,E22.1
259,DAP000252,mesoridazine,Schizophrenia,"295, 710.0","F20, M32"
260,DAP000253,hydrocodone,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
261,DAP000254,fenoldopam,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
262,DAP000255,lisuride,Parkinson's disease,332,"F02.3, G20"
263,DAP000256,cinacalcet,Cardiovascular disease; Kidney disease,"390-459, 580-589","I00-I99, N00-N29"
264,DAP000256,cinacalcet,Hyperparathyroidism,"252.02, 588.81",E21.1
265,DAP000257,baclofen,Multiple sclerosis,340,G35
266,DAP000258,progabide,Depression,311,F32
267,DAP000259,clonazepam,Epilepsy,"290-319, 345","F01-F99, G40"
268,DAP000259,clonazepam,Seizures,"345.9, 780.3","G40, P90, R56"
269,DAP000260,pentagastrin,Diagnosis,331,"G30,I73.9"
270,DAP000261,ivermectin,Intestinal strongyloidiasis due to nematode parasite,127.2,B78
271,DAP000262,clofibrate,Dysbetalipoproteinemia,272.2,E78.2
272,DAP000263,bethanechol,Urinary retention,788.2,R33
273,DAP000264,remifentanil,General anesthesia,338,R52
274,DAP000265,varenicline,Smoking cessation,292,F17.2
275,DAP000266,zaleplon,Insomnia,"307.41, 307.42, 327.0, 780.51, 780.52","F51.0, G47.0"
276,DAP000267,methadone,Cough,786.2,R05
277,DAP000267,methadone,Opiate dependence,304,F11
278,DAP000268,levorphanol,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
279,DAP000269,carbetocin,Postpartum haemorrhage,666,O72
280,DAP000270,fenofibrate,High cholesterol levels; High triglyceride levels,"272.0, 272.1","E78.0, E78.1, E78.2, E78.3"
281,DAP000271,rosiglitazone,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
282,DAP000272,pioglitazone,Diabetes mellitus,"253.5, 588.1","E23.2, N25.1"
283,DAP000273,iloprost,Pulmonary arterial hypertension,416,"I27.0, I27.2"
284,DAP000274,travoprost,Open-angle glaucoma; Ocular hypertension,"365, 365.04","H40-H42, H40.0"
285,DAP000275,alitretinoin,Kaposi's sarcoma,176,C46
286,DAP000276,bexarotene,Cutaneous T-cell lymphoma,"202.1, 202.2, 202.8, 208.9","C81-C96, C84.0, C84.1, C91-C95"
287,DAP000277,dextromethorphan,Cough; Pain,"338, 786.2,780","R05, R52, G89"
288,DAP000278,imiquimod,Skin cancers,"172, 173","C43, C44"
289,DAP000279,ibutilide,Atrial fibrillation,"272, 427.31","E78, I48"
290,DAP000282,bromocriptine,Parkinson's disease,332,"F02.3, G20"
291,DAP000283,oxycodone,Pain,"338, 356.0, 356.8,780","G64, G90.0, R52, G89"
292,DAP000284,cosyntropin,Adrenocortical insufficiency,255.4,E27.1-E27.4
293,DAP000285,eptifibatide,Acute cardiac ischemic events,410,"I21, I22"
294,DAP000286,pegvisomant,Acromegaly,253,E22.0
295,DAP000287,mecasermin,Growth failure,.,R62.8
296,DAP000287,mecasermin,IGF-1 deficiency,259.4,E34.3
297,DAP000288,glycine,Dietary shortage,260-269,E40-E46
298,DAP000290,calcidiol,Vitamin D deficiency,268,E55
299,DAP000291,ergocalciferol,Hypoparathyroidism,252.1,"E20, E89.2, P71.4"
300,DAP000292,calcipotriol,Psoriasis,696,L40
301,DAP000293,mianserin,Depression,311,F32
302,DAP000294,triflupromazine,Psychoses,290-299,F20-F29
303,DAP000295,granisetron,Nausea; Vomiting,"787, 787.0",R11
304,DAP000296,procaine,Anesthesia,338,R52
305,DAP000297,spironolactone,Congestive heart failure,"428, 428.0",I50
306,DAP000298,dapiprazole,Mydriasis,379.43,H57.0
307,DAP000299,phentolamine,Dermal necrosis,.,K05
308,DAP000300,prazosin,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
309,DAP000301,flutamide,Prostate cancer,"140-229, 185","C00-C96, C61"
310,DAP000302,nilutamide,Prostate cancer,"140-229, 185","C00-C96, C61"
311,DAP000303,levobunolol,Open-angle glaucoma,365,H40-H42
312,DAP000304,esmolol,Acute supraventricular tachycardia,"427.0, 427.89",I47.1
313,DAP000305,betaxolol,Hypertension,"401, 428","I10, I11, I12, I13, I15, I50"
314,DAP000306,nimodipine,Cerebral vasospasm,443.9,I73.9
315,DAP000307,rimonabant,Obesity,278,E66
316,DAP000308,maraviroc,Chronic obstructive pulmonary disease,"490-492, 494-496","J40-J44, J47"
317,DAP000308,maraviroc,HIV infections,"001-139, 042","A00-B99, B20"
318,DAP000308,maraviroc,Human immunodeficiency virus infection,279.3,D84.9
319,DAP000309,montelukast,Asthma,493,J45
320,DAP000310,sulpiride,Schizophrenia,"295, 710.0","F20, M32"
321,DAP000311,loxapine,Psychotic disorders,290-299,F20-F29
322,DAP000312,remoxipride,Schizophrenia,"295, 710.0","F20, M32"
323,DAP000313,haloperidol,Schizophrenia,"295, 710.0","F20, M32"
324,DAP000314,aminolevulinic acid,Photodynamic therapy,706.1,L70.0
325,DAP000315,thiethylperazine,Nausea; Vomiting,"787, 787.0",R11
326,DAP000316,pimozide,Schizophrenia,"295, 710.0","F20, M32"
327,DAP000317,domperidone,Gastrointestinal problems,"536, 750","K30-K31, Q40-Q41"
328,DAP000318,thiothixene,Schizophrenia,"295, 710.0","F20, M32"
329,DAP000319,fulvestrant,Breast cancer,"174, 175, 217","C50, D24"
330,DAP000320,budesonide,Asthma; Non-infectious rhinitis,"472.0, 477, 493","J00, J30, J31.0, J45"
331,DAP000321,amlexanox,Aphthous ulcers,528.2,K12.0
332,DAP000321,amlexanox,Respiratory tract inflammation,.,J00-J99
333,DAP000322,clemastine,Allergic rhinitis,"472.0, 477, 995.3","J00, J30, J31.0, T78.4"
