,Brand Name,Generic Name,Claim Count,Total Spending,Beneficiary Count,Total Annual Spending Per User,Unit Count,Average Cost Per Unit (Weighted),Beneficiary Count No LIS,Average Beneficiary Cost Share No LIS,Beneficiary Count LIS,Average Beneficiary Cost Share LIS,Year,Matched Drug Name,Indication
26,acetaminoph-caff-dihydrocodein,dhcodeine bt/acetaminophn/caff,4997.0,484572.16,1582.0,306.30351454,340065.0,1.4249398203,635.0,105.18351181,947.0,6.9556177402,2011,,
27,acetaminophen-codeine,acetaminophen with codeine,2803822.0,37536168.31,1192417.0,31.479061696,172267021.29,0.2256168452,600518.0,13.583327294,591899.0,3.2354040132,2011,codeine,Cough
28,acetasol hc,acetic acid/hydrocortisone,4607.0,854951.74,3546.0,241.10314157,59926.0,14.266791376,2050.0,30.414619512,1496.0,2.8821657754,2011,hydrocortisone,Inflammatory diseases
29,acetazolamide,acetazolamide,225803.0,12894882.41,73929.0,174.42251904,12904598.701,1.1490701863,43674.0,29.13826075,30255.0,5.0257504545,2011,acetazolamide,Glaucoma
30,acetazolamide sodium,acetazolamide sodium,,,,,,,,,,,2011,acetazolamide,Glaucoma
31,acetic acid,acetic acid,44440.0,1267348.39,22923.0,55.28719583,30189249.3,1.1869179181,11382.0,10.08842207,11541.0,1.7548098085,2011,,
32,acetic acid-aluminum,acetic acid/aluminum acetate,5859.0,368425.19,4271.0,86.262044018,360681.0,1.0214710229,2615.0,10.944156788,1656.0,1.6754951691,2011,,
33,acetylcysteine,acetylcysteine,35634.0,1555542.51,14055.0,110.67538314,2464842.1,0.6331998374,5865.0,15.124383632,8190.0,0.9638547009,2011,acetylcysteine,Liver disease
34,acid jelly,acetic ac/ricinoleic/oxyquinol,229.0,8237.44,136.0,60.569411765,23690.0,0.3477180245,111.0,25.693963964,25.0,2.4816,2011,,
35,aciphex,rabeprazole sodium,404412.0,131889812.65,88282.0,1493.960407,18216152.511,7.2402672612,44579.0,315.6039292,43703.0,21.152397089,2011,rabeprazole,Bacterial infection
36,aciphex sprinkle,rabeprazole sodium,,,,,,,,,,,2011,rabeprazole,Bacterial infection
37,acitretin,acitretin,,,,,,,,,,,2011,acitretin,Psoriasis
38,aclovate,alclometasone dipropionate,61.0,4452.64,48.0,92.763333333,2220.0,2.1330088981,27.0,36.903333333,21.0,2.419047619,2011,alclometasone,Inflammatory diseases
39,actemra,tocilizumab,1611.0,2318580.04,223.0,10397.21991,54228.0,53.900976787,89.0,1155.3946067,134.0,23.447462687,2011,tocilizumab,Juvenile idiopathic arthritis
40,acthib,haemoph b poly conj-tet tox/pf,259.0,7972.28,238.0,33.49697479,372.5,21.40209396,190.0,19.147263158,48.0,3.7825,2011,,
41,acticin,permethrin,2112.0,45032.37,1715.0,26.257941691,144989.0,0.3105916311,541.0,9.4350092421,1174.0,1.7145911414,2011,permethrin,Infections with sarcoptes scabiei
42,actigall,ursodiol,787.0,427525.11,163.0,2622.8534356,81286.0,5.259517137,92.0,555.65434783,71.0,13.38028169,2011,,
43,actimmune,"interferon gamma-1b,recomb.",601.0,4338256.97,76.0,57082.328553,5653.5,767.35773768,41.0,3472.2346341,35.0,26.877428571,2011,interferon gamma-1b,Chronic granulomatous disease
44,actiq,fentanyl citrate,1118.0,10349948.57,158.0,65506.003608,122905.0,77.51095588,41.0,1734.7,117.0,22.783760684,2011,,
45,active ob,"pnv no.66/iron,carbonyl/fa/dha",,,,,,,,,,,2011,iron,Iron deficiency anaemia
46,activella,estradiol/norethindrone acet,10536.0,1237658.79,2841.0,435.64195354,424194.111,2.9235016308,2141.0,285.72715086,700.0,18.241585714,2011,estradiol,Breast cancer
47,actonel,risedronate sodium,1556284.0,242348288.33,311086.0,779.03952068,6732428.481,61.437031807,189688.0,284.26125395,121398.0,23.50605982,2011,risedronate,Paget's disease
48,actonel with calcium,risedronate sod/calcium carb,51.0,4818.16,27.0,178.45037037,1376.0,3.5015697674,12.0,47.218333333,15.0,12.206666667,2011,risedronate,Paget's disease
49,actoplus met,pioglitazone hcl/metformin hcl,425375.0,123320978.04,77250.0,1596.3880652,31470918.333,3.9186724582,38285.0,342.82526211,38965.0,29.793466444,2011,metformin,Diabetes mellitus
50,actoplus met xr,pioglitazone hcl/metformin hcl,6252.0,1845632.48,2113.0,873.4654425,360508.0,5.5077461148,1286.0,260.48754277,827.0,17.542430472,2011,metformin,Diabetes mellitus
51,actos,pioglitazone hcl,4484645.0,1294152165.4,778712.0,1661.9137311,184549604.23,7.1136812809,376150.0,338.94200912,402562.0,29.919584312,2011,pioglitazone,Diabetes mellitus
52,acuflex,acetaminophen/phenyltolx,50.0,4575.98,24.0,190.66583333,3412.0,1.3411430246,13.0,53.795384615,11.0,4.7563636364,2011,acetaminophen,Pain
53,acular,ketorolac tromethamine,3704.0,452419.45,2141.0,211.31221392,21692.5,20.856030886,1075.0,78.781144186,1066.0,6.328564728,2011,ketorolac,Pain
54,acular ls,ketorolac tromethamine,6188.0,724099.57,3663.0,197.67938029,33562.0,21.574982719,2294.0,80.633971229,1369.0,7.2323520818,2011,ketorolac,Pain
55,acuvail,ketorolac tromethamine/pf,20719.0,3000401.3,15153.0,198.00708111,735916.5,4.0770947519,11079.0,73.86417998,4074.0,7.4862714777,2011,ketorolac,Pain
56,acyclovir,acyclovir,1042311.0,22751482.71,434279.0,52.389092519,61684272.256,0.3910865953,272649.0,18.083346647,161630.0,3.1715257687,2011,iontophoretic acyclovir,Herpes simplex virus infection
57,acyclovir sodium,acyclovir sodium,338.0,85358.64,168.0,508.08714286,101946.91,0.9041454339,67.0,69.443731343,101.0,1.4247524752,2011,,
58,aczone,dapsone,2121.0,519176.38,1158.0,448.33884283,98520.0,5.2697561916,700.0,104.01264286,458.0,8.9410262009,2011,dapsone,Pneumocystis carinii pneumonia
59,adacel tdap,"diph,pertuss(acell),tet vac/pf",119038.0,6021775.49,118181.0,50.953837673,112057.034,56.598735037,97885.0,25.55673382,20296.0,3.5695585337,2011,,
60,adagen,pegademase bovine,,,,,,,,,,,2011,pegademase bovine,Immuno-stimulant
61,adalat cc,nifedipine,4725.0,450533.75,968.0,465.42742769,212248.0,2.1464106807,606.0,282.95466997,362.0,22.901878453,2011,nifedipine,Angina pectoris
62,adapalene,adapalene,5116.0,885639.89,2869.0,308.69288602,243368.0,3.6419139038,1221.0,53.252833743,1648.0,2.6937135922,2011,adapalene,Acne vulgaris
63,adcetris,brentuximab vedotin,,,,,,,,,,,2011,brentuximab vedotin,Hodgkin's lymphoma; Systemic anaplastic large cell lymphoma
64,adcirca,tadalafil,25251.0,31488476.96,4068.0,7740.5302262,1536087.588,20.499141589,2146.0,1198.6460065,1922.0,36.40925078,2011,tadalafil,Erectile dysfunction
65,adderall,dextroamphetamine/amphetamine,4952.0,1308012.9,1905.0,686.62094488,379367.0,3.4483387684,479.0,207.43768267,1426.0,8.7451893408,2011,dextroamphetamine,Attention deficit hyperactivity disorder
66,adderall xr,dextroamphetamine/amphetamine,48889.0,14760082.94,12740.0,1158.5622402,2253296.0,6.555881881,2835.0,224.98941093,9905.0,14.873809187,2011,dextroamphetamine,Attention deficit hyperactivity disorder
67,adefovir dipivoxil,adefovir dipivoxil,,,,,,,,,,,2011,adefovir dipivoxil,Hepatitis B virus infection
68,adempas,riociguat,,,,,,,,,,,2011,riociguat,Pulmonary arterial hypertension
69,adipex-p,phentermine hcl,21.0,1237.6,,,572.0,2.1744801648,,,,,2011,phentermine,Obesity
70,adoxa,doxycycline monohydrate,142.0,95472.84,105.0,909.26514286,4286.0,22.066438374,59.0,117.93677966,46.0,3.5326086957,2011,doxycycline,Advanced gum disease; chronic periodontitis
71,adrenaclick,epinephrine,39.0,5941.95,35.0,169.77,67.0,88.685820896,,,,,2011,epinephrine,Allergy
72,adrenalin,epinephrine,,,,,,,,,,,2011,epinephrine,Allergy
73,adrenalin chloride,epinephrine,149.0,1098.5,137.0,8.0182481752,617.0,3.110217682,65.0,7.7984615385,72.0,1.56,2011,epinephrine,Allergy
74,adrenalin chloride,epinephrine hcl,15.0,417.02,14.0,29.787142857,475.0,0.8779368421,,,,,2011,epinephrine,Allergy
75,adriamycin,doxorubicin hcl,180.0,23401.21,73.0,320.56452055,7872.0,15.087081534,36.0,48.552777778,37.0,2.0318918919,2011,doxorubicin,Cancers
76,adrucil,fluorouracil,25.0,728.06,17.0,42.827058824,1340.0,0.5433283582,,,,,2011,fluorouracil,Cancers
77,advair diskus,fluticasone/salmeterol,6168173.0,1664865680.5,1402405.0,1187.1504169,436747918.13,3.8138680831,664800.0,229.50391736,737605.0,20.521865389,2011,salmeterol,Chronic obstructive pulmonary disease
78,advair hfa,fluticasone/salmeterol,252981.0,68631288.46,74061.0,926.68595428,3465654.171,19.804599114,34626.0,183.27406024,39435.0,15.387088627,2011,salmeterol,Chronic obstructive pulmonary disease
79,advanced am/pm,om-3/calcium/d3/fa/mv cmb 13,22.0,1239.38,,,3420.0,0.3623918129,,,,,2011,calcium,Osteoporosis
80,advanced dna medicated collect,lidocaine hcl/glycerin,,,,,,,,,,,2011,lidocaine,Anesthesia
81,advicor,niacin/lovastatin,33250.0,7221493.71,7251.0,995.93072818,1908640.0,3.7901680075,5810.0,355.3086747,1441.0,24.769736294,2011,lovastatin,Hypercholesterolemia
82,advocate pen needles,"pen needle, diabetic",,,,,,,,,,,2011,,
83,advocate syringes,"syring w-ndl,disp,insul,0.3 ml",,,,,,,,,,,2011,,
84,advocate syringes,"syring w-ndl,disp,insul,0.5 ml",,,,,,,,,,,2011,,
85,advocate syringes,"syringe and needle,insulin,1ml",,,,,,,,,,,2011,insulin,Diabetes mellitus
86,aerobid,flunisolide,149.0,13824.85,123.0,112.39715447,1120.0,12.343616071,59.0,78.882881356,64.0,7.6,2011,flunisolide,Allergic rhinitis
87,aerobid-m,flunisolide/menthol,61.0,5512.42,50.0,110.2484,449.0,12.277104677,27.0,78.891111111,23.0,5.5265217391,2011,menthol,Throat irritation
88,aerospan,flunisolide,,,,,,,,,,,2011,flunisolide,Allergic rhinitis
89,afeditab cr,nifedipine,60897.0,2155902.17,13102.0,164.54756297,2482808.0,0.859999115,6900.0,35.672172464,6202.0,5.9345307965,2011,nifedipine,Angina pectoris
90,afinitor,everolimus,6076.0,45140530.91,1573.0,28697.095302,179682.0,251.57942972,953.0,2364.9990031,620.0,59.493370968,2011,everolimus,Advanced kidney cancer
91,afinitor disperz,everolimus,,,,,,,,,,,2011,everolimus,Advanced kidney cancer
92,afrezza,"insulin regular, human",,,,,,,,,,,2011,insulin,Diabetes mellitus
93,aggrenox,aspirin/dipyridamole,1089190.0,270984006.93,176897.0,1531.8745198,78957696.009,3.4320151249,101170.0,382.02940516,75727.0,32.250166123,2011,dipyridamole,Hypertension
94,agrylin,anagrelide hcl,354.0,273011.32,69.0,3956.6857971,43247.0,6.3128383472,38.0,671.24,31.0,23.801935484,2011,anagrelide,Thrombocythemia
95,a-hydrocort,hydrocortisone sod succinate,11.0,372.1,,,228.0,1.6320175439,,,,,2011,hydrocortisone,Inflammatory diseases
96,aimsco mini ultra-thin ii,"pen needle, diabetic",61.0,1227.88,48.0,25.580833333,6660.0,0.1843663664,24.0,20.285416667,24.0,2.8904166667,2011,,
97,aimsco ultra thin ii,"pen needle, diabetic",1000.0,25200.84,444.0,56.758648649,122500.0,0.205630228,152.0,32.119605263,292.0,6.1719178082,2011,,
98,akne-mycin,erythromycin base,687.0,84766.08,533.0,159.03579737,22028.45,3.8480274372,333.0,73.135525526,200.0,5.019,2011,erythromycin,Bacterial infection
99,akorn balanced salt,balanced salt irrig soln no.2,11.0,288.93,,,381.0,0.7583464567,,,,,2011,,
100,ak-pentolate,cyclopentolate hcl,730.0,6893.65,563.0,12.244493783,2019.0,3.414388311,369.0,7.1941734417,194.0,1.993556701,2011,cyclopentolate,Ocular disease
101,ak-poly-bac,bacitracin/polymyxin b sulfate,9012.0,218612.24,5486.0,39.849114109,32923.875,6.6399304456,2496.0,11.140729167,2990.0,1.3611906355,2011,bacitracin,Bacterial infection
102,akten,lidocaine hcl/pf,12.0,610.36,,,413.5,1.4760822249,,,,,2011,lidocaine,Anesthesia
103,akynzeo,netupitant/palonosetron hcl,,,,,,,,,,,2011,palonosetron,Nausea; Vomiting
104,ala-cort,hydrocortisone,11.0,102.84,11.0,9.3490909091,498.2,0.2189351754,,,,,2011,hydrocortisone,Inflammatory diseases
105,alahist dhc,phenylephrine hcl/dihydroco bt,,,,,,,,,,,2011,phenylephrine,Ophthalmic disorders
106,alamast,pemirolast potassium,2392.0,275773.85,956.0,288.46637029,26180.0,10.533760504,444.0,121.66684685,512.0,8.7337109375,2011,pemirolast,Allergic conjunctivitis
107,ala-scalp,hydrocortisone,91.0,2718.2,62.0,43.841935484,2992.8,0.9082464582,44.0,22.608636364,18.0,4.6888888889,2011,hydrocortisone,Inflammatory diseases
108,albenza,albendazole,2072.0,175349.48,1418.0,123.65971791,67644.0,2.5922399622,776.0,38.980257732,642.0,5.8627102804,2011,albendazole,Worm infections
109,albumin (human),albumin human,15.0,4797.73,,,4130.0,1.5005755014,,,,,2011,human serum albumin,Anemia
110,albuminar-25,albumin human,43.0,29829.5,15.0,1988.6333333,16400.0,1.8188719512,,,,,2011,human serum albumin,Anemia
111,albuminar-5,albumin human,,,,,,,,,,,2011,human serum albumin,Anemia
112,alburx,albumin human,45.0,16210.84,14.0,1157.9171429,9895.0,1.9510593827,,,,,2011,human serum albumin,Anemia
113,albutein,albumin human,,,,,,,,,,,2011,human serum albumin,Anemia
114,albuterol sulfate,albuterol sulfate,1020652.0,18734151.66,298242.0,62.81526968,117281704.2,0.1942663287,64973.0,20.374150032,233269.0,1.1160533976,2011,albuterol sulfate,Acute lung injury
115,alcaine,proparacaine hcl,15.0,533.03,,,225.0,2.3690222222,,,,,2011,proparacaine,Anesthesia
116,alclometasone dipropionate,alclometasone dipropionate,34197.0,1100650.3,22196.0,49.587777077,1412621.18,0.7783342779,15877.0,11.846806072,6319.0,2.307998101,2011,alclometasone,Inflammatory diseases
117,alcohol pads,alcohol antiseptic pads,278.0,2833.7,135.0,20.99037037,29100.0,0.0973780069,12.0,3.2925,123.0,2.9287804878,2011,,
118,alcohol prep pads,alcohol antiseptic pads,90422.0,506206.54,29603.0,17.099839205,9785478.0,0.0517303846,4977.0,4.3939361061,24626.0,4.1568695687,2011,,
119,alcohol prep swabs,alcohol antiseptic pads,4815.0,17373.03,1929.0,9.0062363919,535300.0,0.0324547543,451.0,2.9479379157,1478.0,3.6737415426,2011,,
120,alcohol swab,alcohol antiseptic pads,33.0,127.28,25.0,5.0912,4801.0,0.0265111435,12.0,1.1483333333,13.0,2.5238461538,2011,,
121,alcohol swabs,alcohol antiseptic pads,88846.0,338610.58,33211.0,10.19573575,9806995.1,0.0345274548,5009.0,3.5171950489,28202.0,3.7217644139,2011,,
122,alcohol wipes,alcohol antiseptic pads,1836.0,5890.67,655.0,8.993389313,203462.0,0.0289521876,71.0,4.0467605634,584.0,3.7843321918,2011,,
123,"alcohol,dehydrated",ethyl alcohol,33.0,2195.48,,,2409.0,0.9113657119,,,,,2011,,
124,aldactazide,spironolact/hydrochlorothiazid,5055.0,406971.36,1318.0,308.77948407,244424.5,1.6761648169,877.0,178.31540479,441.0,18.812131519,2011,,
125,aldactone,spironolactone,3624.0,292484.43,960.0,304.67128125,213002.0,1.3248610089,646.0,176.75072755,314.0,13.448694268,2011,spironolactone,Congestive heart failure
126,aldara,imiquimod,3739.0,1333907.72,2490.0,535.70591165,61004.25,21.865816234,1486.0,105.3072611,1004.0,7.1582071713,2011,imiquimod,Skin cancers
127,aldex d,phenylephrine/pyrilamine,50.0,3880.39,43.0,90.241627907,7330.0,0.5293847203,,,,,2011,phenylephrine,Ophthalmic disorders
128,aldex-ct,phenylephrine/diphenhydramine,79.0,7985.34,58.0,137.67827586,3237.0,2.4668952734,29.0,79.124482759,29.0,7.8944827586,2011,phenylephrine,Ophthalmic disorders
129,aldurazyme,laronidase,,,,,,,,,,,2011,laronidase,Mucopolysaccharidosis
130,alecensa,alectinib hydrochloride,,,,,,,,,,,2011,,
131,alendronate sodium,alendronate sodium,9685594.0,154633135.69,1868915.0,82.739523034,61719800.123,2.6012843715,1199715.0,38.774500686,669200.0,6.9661016139,2011,alendronate,Osteoporosis; Paget's disease
132,aleveer,capsaicin/menthol,,,,,,,,,,,2011,menthol,Throat irritation
133,alfuzosin hcl er,alfuzosin hcl,89235.0,7817604.22,39922.0,195.82195832,4324809.0,1.8076183757,30634.0,63.961611608,9288.0,3.744829888,2011,alfuzosin,Benign prostatic hyperplasia
134,aliclen,salicylic acid,901.0,41277.88,446.0,92.551300448,165583.0,0.2492881516,330.0,15.504151515,116.0,2.6892241379,2011,salicyclic acid,Acne vulgaris
135,ali-flex,acetaminophen/phenyltolx,343.0,5870.24,152.0,38.62,19531.0,0.3005601352,92.0,16.877717391,60.0,4.3073333333,2011,acetaminophen,Pain
136,alimta,pemetrexed disodium,1070.0,4973476.66,207.0,24026.457295,4709.0,1749.7031885,86.0,1494.5769767,121.0,111.6807438,2011,pemetrexed,Malignant pleural mesothelioma
137,alinia,nitazoxanide,4343.0,1639899.99,3385.0,484.46085377,94388.0,20.165218161,2101.0,99.912094241,1284.0,7.6362694704,2011,nitazoxanide,Diarrhea
138,alkeran,melphalan,521.0,92879.77,206.0,450.8726699,13049.0,7.1177691777,132.0,146.80628788,74.0,10.883918919,2011,melphalan,Multiple myeloma
139,allegra,fexofenadine hcl,7144.0,561895.46,3920.0,143.34067857,476778.1,1.8673771546,1805.0,71.871279778,2115.0,6.2052624113,2011,fexofenadine,Allergic rhinitis
140,allegra odt,fexofenadine hcl,61.0,6668.48,44.0,151.55636364,3799.0,1.7553250855,16.0,58.245625,28.0,8.1539285714,2011,fexofenadine,Allergic rhinitis
141,allegra-d 12 hour,fexofenadine/pseudoephedrine,2980.0,336017.34,1888.0,177.97528602,159424.0,2.1076960809,767.0,76.45208605,1121.0,6.677823372,2011,pseudoephedrine,Nasal congestion
142,allegra-d 24 hour,fexofenadine/pseudoephedrine,7745.0,1059767.05,5062.0,209.35737851,248377.0,4.2667680582,1685.0,80.237958457,3377.0,6.9379893397,2011,pseudoephedrine,Nasal congestion
143,allerx 10,pseudoephedrin/methscop/cpm/pe,13.0,9852.82,11.0,895.71090909,1080.0,9.1229814815,,,,,2011,,
144,allerx 30,pseudoephedrin/methscop/cpm/pe,19.0,17897.96,16.0,1118.6225,1980.0,9.0393737374,16.0,,0.0,,2011,,
145,allerx df,chlorpheniramine/methscopolamn,48.0,20742.54,40.0,518.5635,2380.0,8.7153529412,,,,,2011,chlorpheniramine,Allergic rhinitis; Urticaria
146,allerx df 30,chlorpheniramine/methscopolamn,35.0,19255.24,31.0,621.13677419,2460.0,7.8273333333,,,,,2011,chlorpheniramine,Allergic rhinitis; Urticaria
147,allerx pe,chlor-mal/phenyleph/methscop,86.0,34245.88,67.0,511.13253731,3570.0,9.5926834734,49.0,108.49489796,18.0,7.2166666667,2011,,
148,allopurinol,allopurinol,6132082.0,45883713.28,1144203.0,40.10102515,326729095.66,0.14298282,756746.0,26.607506323,387457.0,7.2077517247,2011,allopurinol,Hyperuricemia
149,almotriptan malate,almotriptan malate,,,,,,,,,,,2011,almotriptan,Acute migraine
150,alocril,nedocromil sodium,4781.0,534697.19,2278.0,234.72220808,28100.0,19.028369751,1289.0,68.659286268,989.0,8.4160262892,2011,nedocromil sodium,Allergic conjunctivitis
151,alomide,lodoxamide tromethamine,1310.0,140994.8,615.0,229.2598374,14905.0,9.4595639047,333.0,121.0651952,282.0,7.3503900709,2011,tromethamine,Acidosis
152,aloquin,iodoquinol/aloe polysacchar #1,116.0,18059.96,83.0,217.58987952,7200.0,2.5083277778,53.0,56.292641509,30.0,3.097,2011,iodoquinol,Amoebiasis
153,alora,estradiol,11302.0,775349.43,2865.0,270.6280733,112437.0,6.8973801476,1683.0,176.1135413,1182.0,14.878688663,2011,estradiol,Breast cancer
154,alosetron hcl,alosetron hcl,,,,,,,,,,,2011,alosetron,Irritable bowel syndrome
155,aloxi,palonosetron hcl,2003.0,1458210.24,537.0,2715.4753073,18950.0,76.950408443,226.0,272.16752212,311.0,17.97681672,2011,palonosetron,Nausea; Vomiting
156,alphagan p,brimonidine tartrate,826128.0,94131502.62,204217.0,460.93862225,7118076.209,13.214835783,117019.0,163.56698254,87198.0,17.292714053,2011,brimonidine,Ocular hypertension
157,alprazolam,alprazolam,1305191.0,11859288.97,263892.0,44.939933647,82804155.5,0.1422563915,208872.0,16.857936487,55020.0,11.801244638,2011,alprazolam,Anxiety disorder
158,alprazolam er,alprazolam,4949.0,271650.41,1117.0,243.19642793,263082.0,1.0440649709,918.0,44.488562092,199.0,32.345427136,2011,alprazolam,Anxiety disorder
159,alprazolam intensol,alprazolam,20.0,1237.1,17.0,72.770588235,600.0,2.0618333333,,,,,2011,alprazolam,Anxiety disorder
160,alprazolam odt,alprazolam,711.0,74631.57,253.0,294.98644269,45911.0,1.6088512534,215.0,29.10972093,38.0,21.854210526,2011,alprazolam,Anxiety disorder
161,alprazolam xr,alprazolam,4081.0,260041.4,929.0,279.9153929,213455.0,1.2486468042,765.0,48.77551634,164.0,37.438780488,2011,alprazolam,Anxiety disorder
162,alprostadil,alprostadil,145.0,17677.29,72.0,245.51791667,1005.295,17.588327443,,,,,2011,alprostadil,Erectile dysfunction
163,alrex,loteprednol etabonate,92139.0,12083499.26,45319.0,266.63208058,604338.94,19.994573343,23686.0,77.898406654,21633.0,7.4297827393,2011,loteprednol etabonate,Eye Inflammation
164,alsuma,sumatriptan succinate,,,,,,,,,,,2011,sumatriptan,Migraine headaches
165,altabax,retapamulin,12484.0,1415411.36,8548.0,165.58392139,245846.5,5.7572971753,5010.0,68.380433134,3538.0,6.5834821933,2011,retapamulin,Impetigo
166,altace,ramipril,16484.0,2308917.87,3941.0,585.87106572,908213.0,2.5355351273,2594.0,265.84132228,1347.0,21.361403118,2011,ramipril,Congestive heart failure; Hypertension
167,altavera,levonorgestrel-ethin estradiol,759.0,24124.84,206.0,117.11087379,27916.0,0.8641940106,17.0,33.484705882,189.0,3.7865079365,2011,estradiol,Breast cancer
168,altoprev,lovastatin,6595.0,2732290.51,1640.0,1666.0307988,284431.5,9.6199108106,979.0,355.62514811,661.0,20.910574887,2011,lovastatin,Hypercholesterolemia
169,aluvea,urea,,,,,,,,,,,2011,urea,Dermatological disease
170,alvesco,ciclesonide,17466.0,3614502.12,5338.0,677.12666167,146720.4,24.636935026,3549.0,226.06180051,1789.0,13.849530464,2011,ciclesonide,Asthma
171,alyacen,norethindrone-ethinyl estrad,,,,,,,,,,,2011,norethindrone,Oral contraceptive
172,alz-nac,acetyl/methyl-b12/lmefolate ca,,,,,,,,,,,2011,,
173,amantadine,amantadine hcl,347791.0,11878529.9,65005.0,182.7325575,29189955.811,0.4686158797,31442.0,50.050669169,33563.0,5.6890900694,2011,amantadine,Influenza virus A infection
174,amaryl,glimepiride,9984.0,865527.18,2522.0,343.19079302,642179.0,1.3462046231,1523.0,152.792239,999.0,15.772272272,2011,glimepiride,Diabetes mellitus
175,ambien,zolpidem tartrate,40793.0,8160743.5,10506.0,776.76979821,1405003.0,5.8082882209,5347.0,207.32397232,5159.0,16.361137817,2011,zolpidem,Insomnia
176,ambien cr,zolpidem tartrate,72851.0,14586579.45,20332.0,717.41980376,2452986.0,5.9471779504,9432.0,211.1110528,10900.0,14.776187156,2011,zolpidem,Insomnia
177,ambisome,amphotericin b liposome,194.0,543310.38,52.0,10448.276538,22284.205,24.380963108,26.0,667.23192308,26.0,16.367307692,2011,amphotericin b,Fungal infection
